Image Name,Extracted Text
object_07fb4016-b112-4229-93f5-469e7afb08fb.png,No text detected
object_11592a5b-1eb0-464c-98d9-c2a1eee02dd7.png,No text detected
object_20e02a07-043c-4576-984d-53fb1f454c48.png,No text detected
object_2111f681-2e28-4d2c-95e8-a26ada0148b1.png,No text detected
object_2909dda2-12ab-4b19-8c60-550bbd49246e.png,No text detected
object_295b38b7-321e-4ac9-af9b-767aa189fa20.png,No text detected
object_2f00f3e2-569b-4077-afc1-0ca047279c55.png,No text detected
object_3c432f98-6e2d-4cf9-a2e8-76b03b161e4f.png,No text detected
object_47b92c57-ccc4-4397-8c51-94968312d0c2.png,No text detected
object_549735fd-1562-47cb-9b24-00ece1f76dea.png,No text detected
object_5a32f197-2c95-422c-b522-938fd35af212.png,No text detected
object_5fdda536-1dc2-4ad0-9f30-05035f62b0b6.png,No text detected
object_6224e48e-b46f-4a24-8a4a-92d4c7e2f721.png,No text detected
object_6a7bd031-1f74-4d7d-a77e-df312cbbbad3.png,No text detected
object_718a307a-3d5e-4091-97d3-8240039d0c2f.png,No text detected
object_7e5d5869-09ee-4d00-95b0-bc3555055723.png,No text detected
object_81bdb96d-3e97-4a64-b8ec-3a130a3978fd.png,No text detected
object_838014d5-3ddc-4232-91d1-b3b6680ca811.png,STOP
object_8d74f1ed-b9c2-4689-ac23-6a6fc3bcbfc8.png,No text detected
object_8ff4858b-7d5c-4cf1-b0d5-c11fdd70263e.png,No text detected
object_973faedb-ce31-44e6-b232-1edf465d7db0.png,No text detected
object_98a17890-24fa-4389-af22-3de8e0ddc1b2.png,No text detected
object_a3e36ce0-9593-4449-9fc5-95570363c713.png,No text detected
object_aa94e92c-cd20-404c-881e-d0919a5e106e.png,No text detected
object_b34d4c22-2b6d-45c9-b520-50882514293a.png,No text detected
object_b66b6799-7b1d-48ca-9d67-7d8b8532be55.png,No text detected
object_b7558d6b-0999-4d29-a2d9-eca887a6a46c.png,No text detected
object_bb5c6ce0-fd50-4c08-acd9-35d0f1c5616c.png,No text detected
object_bf6924cb-66a7-4b56-80ce-c06d52535fae.png,No text detected
object_bf87aee6-f710-4d00-8cd1-850269e25a32.png,No text detected
object_c31b10f5-21d9-4462-afc2-c535aa7b750a.png,No text detected
object_cab71f34-c830-4e49-a308-98ce6495bd29.png,No text detected
object_cb2c1f57-4561-4fe5-8038-c5e9dc5456b5.png,No text detected
object_d4aafd2a-d093-4f2f-9b50-90f1f5a76ce6.png,No text detected
object_d8e0e9ca-bfa1-4b61-b050-904660b2e37b.png,No text detected
object_d93e627f-712c-405c-aea8-6d26b594cf3d.png,No text detected
object_e3d59e91-1968-4c71-b260-900381ab9261.png,No text detected
object_ea65c923-c536-4781-aa0a-681248b69829.png,No text detected
object_ec4d57c7-9d5d-4e4b-9b31-ace337978f3d.png,No text detected
object_f0cca65d-7eb9-47b1-aa5c-09f63ac90977.png,No text detected
object_f7c3dd10-bc8f-4cf0-b30f-3f03b72803ea.png,No text detected
